,addressStreet,addressCity,addressState,addressZipCode,bikesAvailable,closeTime,docksAvailable,eventEnd,eventStart,isEventBased,isVirtual,isVisible,kioskId,kioskPublicStatus,kioskStatus,kioskUnresponsiveTime,name,notes,openTime,publicText,timeZone,totalDocks,trikesAvailable,kioskConnectionStatus,kioskType,latitude,longitude,hasGeofence,classicBikesAvailable,smartBikesAvailable,electricBikesAvailable,isArchived,clientVersion
84,4459 Sunset Blvd,Los Feliz,CA,90027,5,05:44:00,5,,,False,False,False,4303,Active,FullService,,Sunset & Virgil,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.09801,-118.28707,False,5,0,0,False,2.174.257
85,629 Shatto Pl,Koreatown,CA,90005,2,05:44:00,9,,,False,False,False,4304,Active,FullService,,Shatto Pl & Wilshire,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.06258,-118.29009,False,1,0,1,False,2.174.257
86,3038 W 8th St,Koreatown,CA,90005,10,05:44:00,5,,,False,False,False,4306,Active,FullService,,8th & Vermont,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.05765,-118.29218,False,8,0,2,False,2.174.257
87,3192 W 7th St,Koreatown,CA,90005,10,05:44:00,5,,,False,False,False,4311,Active,FullService,,7th & Berendo,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.05969,-118.29466,False,9,0,1,False,2.174.257
88,662 S Westlake Ave,Westlake,CA,90057,6,05:44:00,9,,,False,False,False,4313,Active,FullService,,Westlake/MacArthur Park Station,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.05681,-118.275,False,6,0,0,False,2.174.257
89,2378 W 7th St,Westlake,CA,90057,10,05:44:00,4,,,False,False,False,4314,Active,FullService,,7th & Park View,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.05771,-118.27976,False,7,0,3,False,2.174.257
90,694 South Union Avenue,Westlake,CA,90017,10,05:44:00,3,,,False,False,False,4315,Active,FullService,,Union & 7th,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.05403,-118.27092,False,7,0,3,False,2.174.257
91,777 Alameda St,DTLA,CA,90021,6,05:44:00,13,,,False,False,False,4387,Active,FullService,,Row DTLA,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.03352,-118.24184,False,6,0,0,False,2.174.262
92,S Kenmore Ave & W 3rd St,Koreatown,CA,90004,8,05:44:00,4,,,False,False,False,4390,Active,FullService,,Kenmore & 3rd,,05:45:00,,Pacific Standard Time,12,0,Active,1,34.06927,-118.29659,False,8,0,0,False,2.174.257
93,Vermont & Beverly ,Koreatown,CA,90004,3,05:44:00,8,,,False,False,False,4401,Active,FullService,,Vermont & Beverly,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.07561,-118.29186,False,3,0,0,False,2.174.257
94,919 Albany St,Westlake,CA,90015,10,05:44:00,5,,,False,False,False,4404,Active,FullService,,Albany & Olympic,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.04813,-118.27103,False,10,0,0,False,2.174.257
95,Berendo & Olympic road,Koreatown,CA,90005,11,05:44:00,6,,,False,False,False,4405,Active,FullService,,Berendo & Olympic,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.0519,-118.29368,False,10,0,1,False,2.174.257
96,1689 N Normandie Ave,Los Feliz,CA,90027,8,05:44:00,6,,,False,False,False,4406,Active,FullService,,Normandie & Hollywood,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.10189,-118.30061,False,8,0,0,False,2.174.257
97,609 S Kenmore Ave,Koreatown,CA,90010,9,05:44:00,7,,,False,False,False,4410,Active,FullService,,Kenmore & 6th,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.06335,-118.2968,False,9,0,0,False,2.174.257
