,addressStreet,addressCity,addressState,addressZipCode,bikesAvailable,closeTime,docksAvailable,eventEnd,eventStart,isEventBased,isVirtual,isVisible,kioskId,kioskPublicStatus,kioskStatus,kioskUnresponsiveTime,name,notes,openTime,publicText,timeZone,totalDocks,trikesAvailable,kioskConnectionStatus,kioskType,latitude,longitude,hasGeofence,classicBikesAvailable,smartBikesAvailable,electricBikesAvailable,isArchived,clientVersion,geometry
103,University Ave,USC,CA,90007,4,05:44:00,5,,,False,False,False,4441,Active,FullService,,University & 30th,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.02662,-118.28181,False,4,0,0,False,2.174.257,POINT (-118.28181 34.02662)
104,1498 N Normandie,Los Feliz,CA,90027,4,05:44:00,8,,,False,False,False,4442,Active,FullService,,Normandie & Sunset,,05:45:00,,Pacific Standard Time,12,0,Active,1,34.098,-118.30047,False,4,0,0,False,2.174.257,POINT (-118.30047 34.098)
105,3330 S Figueroa St,USC,CA,90007,5,05:44:00,3,,,False,False,False,4443,Active,FullService,,Figueroa & Jefferson,,05:45:00,,Pacific Standard Time,8,0,Active,1,34.02209,-118.27979,False,5,0,0,False,2.174.257,POINT (-118.27979 34.02209)
106,3670 Wilshire Blvd,Koreatown,CA,90005,4,05:44:00,5,,,False,False,False,4444,Active,FullService,,Wilshire & Hobart,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.06162,-118.30557,False,3,0,1,False,2.174.257,POINT (-118.30557 34.06162)
107,1389 S Sunset Blvd,Echo Park,CA,90027,5,05:44:00,10,,,False,False,False,4445,Active,FullService,,Sunset & Douglas,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.07364,-118.25157,False,5,0,0,False,2.174.257,POINT (-118.25157 34.07364)
108,2059 James M. Wood Blvd,Westlake,CA,90006,9,05:44:00,4,,,False,False,False,4446,Active,FullService,,James M. Wood & Alvarado,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.05323,-118.27842,False,6,0,3,False,2.174.257,POINT (-118.27842 34.05323)
109,623 S Rampart Blvd,Westlake,CA,90057,4,05:44:00,11,,,False,False,False,4447,Active,FullService,,Rampart & Wilshire,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.0616,-118.28199,False,3,0,1,False,2.174.257,POINT (-118.28199 34.0616)
110,509 W 23rd St,DTLA,CA,90007,12,05:44:00,10,,,False,False,False,4448,Active,FullService,,23rd St & Flower,,05:45:00,,Pacific Standard Time,22,0,Active,1,34.03027,-118.27319,False,12,0,0,False,2.174.257,POINT (-118.27319 34.03027)
111,1153 Valencia St,Westlake,CA,90015,5,05:44:00,8,,,False,False,False,4449,Active,FullService,,12th & Valencia,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.04557,-118.27419,False,5,0,0,False,2.174.257,POINT (-118.27419 34.04557)
112,3000 W 6th St,Koreatown,CA,90020,4,05:44:00,11,,,False,False,False,4450,Active,FullService,,Virgil & 6th,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.06349,-118.28716,False,3,0,1,False,2.174.257,POINT (-118.28716 34.06349)
113,4647 Melbourne Ave,Los Feliz,CA,90027,5,05:44:00,5,,,False,False,False,4451,Active,FullService,,Melbourne & Vermont,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.10363,-118.29131,False,4,0,1,False,2.174.257,POINT (-118.29131 34.10363)
114,1717 Hillhurst Ave,Los Feliz,CA,90027,6,05:44:00,4,,,False,False,False,4452,Active,FullService,,Hillhurst & Kingswell,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.10233,-118.28746,False,5,0,1,False,2.174.257,POINT (-118.28746 34.10233)
115,701 Lucile Ave,Silver Lake,CA,90026,3,05:44:00,3,,,False,False,False,4453,Active,FullService,,Lucile & Hoover,,05:45:00,,Pacific Standard Time,6,0,Active,1,34.08265,-118.28439,False,2,0,1,False,2.174.257,POINT (-118.28439 34.08265)
116,3775 S Vermont Ave,USC,CA,90007,8,05:44:00,6,,,False,False,False,4454,Active,FullService,,Vermont & Exposition,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.0179,-118.29172,False,7,0,1,False,2.174.257,POINT (-118.29172 34.0179)
117,2841 1/2 Hyperion Ave,Silver Lake,CA,90027,12,05:44:00,6,,,False,False,False,4455,Active,FullService,,Rowena & Hyperion,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.10936,-118.27181,False,10,0,2,False,2.174.257,POINT (-118.27181 34.10936)
118,W Olympic Blvd & S Ardmore Ave,Koreatown,CA,90006,6,05:44:00,10,,,False,False,False,4456,Active,FullService,,Ardmore & Olympic,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.05243,-118.30202,False,6,0,0,False,2.174.257,POINT (-118.30202 34.05243)
119,Hollywood Blvd & Rodney Dr,Los Feliz,CA,90027,2,05:44:00,6,,,False,False,False,4457,Active,FullService,,Hollywood & Rodney,,05:45:00,,Pacific Standard Time,8,0,Active,1,34.10011,-118.28986,False,2,0,0,False,2.174.257,POINT (-118.28986 34.10011)
120,Sunset Blvd & Sanborn Ave,Silver Lake,CA,90029,11,05:44:00,5,,,False,False,False,4472,Active,FullService,,Santa Monica & Sunset,,05:45:00,,Pacific Standard Time,17,0,Active,1,34.0926,-118.28093,False,8,0,3,False,2.174.257,POINT (-118.28093 34.0926)
121,3040 Beverly Blvd,Westlake,CA,90057,3,05:44:00,5,,,False,False,False,4473,Active,FullService,,Vendome & Beverly,,05:45:00,,Pacific Standard Time,8,0,Active,1,34.07159,-118.28229,False,3,0,0,False,2.174.257,POINT (-118.28229 34.07159)
122,Ambrose Ave & Hillhurst Ave,Los Feliz,CA,90027,6,05:44:00,4,,,False,False,False,4474,Active,FullService,,Ambrose & Hillhurst,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.11003,-118.28716,False,4,0,2,False,2.174.257,POINT (-118.28716 34.11003)
123,415 San Pedro St,DTLA,CA,90013,7,05:44:00,4,,,False,False,False,4475,Active,FullService,,San Pedro & Winston,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.04518,-118.24325,False,7,0,0,False,2.174.257,POINT (-118.24325 34.04518)
124,2847 Sunset Blvd,Silver Lake,CA,90026,11,05:44:00,4,,,False,False,False,4476,Active,FullService,,Sunset & Silver Lake,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.08252,-118.27272,False,10,0,1,False,2.174.257,POINT (-118.27272 34.08252)
125,6247 Yucca St,Hollywood,CA,90028,10,05:44:00,13,,,False,False,False,4477,Active,FullService,,Yucca & Argyle,,05:45:00,,Pacific Standard Time,23,0,Active,1,34.10385,-118.32546,False,10,0,0,False,2.174.257,POINT (-118.32546 34.10385)
126,3706 Tracy St,Los Feliz,CA,90027,4,05:44:00,9,,,False,False,False,4478,Active,FullService,,Tracy & Hyperion,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.10424,-118.2737,False,4,0,0,False,2.174.257,POINT (-118.2737 34.10424)
127,2617-2717 Ellendale Pl,USC,CA,90007,4,05:44:00,7,,,False,False,False,4479,Active,FullService,,Ellendale Pl & Adams,,05:45:00,,Pacific Standard Time,12,0,Active,1,34.0315,-118.28874,False,1,0,3,False,2.174.257,POINT (-118.28874 34.0315)
128,201 N Figueroa,DTLA,CA,90012,4,05:44:00,11,,,False,False,False,4480,Active,FullService,,Figueroa Plaza,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.05896,-118.25059,False,3,0,1,False,2.174.257,POINT (-118.25059 34.05896)
129,1300-1310 Wilcox Ave,Hollywood,CA,90038,5,05:44:00,10,,,False,False,False,4482,Active,FullService,,Wilcox & Fountain,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.09437,-118.33101,False,5,0,0,False,2.174.257,POINT (-118.33101 34.09437)
130,2420 Glendale Blv,Silver Lake,CA,90039,6,05:44:00,6,,,False,False,False,4483,Active,FullService,,Glendale & Silver Lake,,05:45:00,,Pacific Standard Time,12,0,Active,1,34.1007,-118.25912,False,5,0,1,False,2.174.257,POINT (-118.25912 34.1007)
131,"1303 W 1st St, Los Angeles",Westlake,CA,90026,12,05:44:00,4,,,False,False,False,4486,Active,FullService,,Vista Hermosa Park,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.06126,-118.2586,False,8,0,4,False,2.174.257,POINT (-118.2586 34.06126)
132,1017 Broxton Ave,Westwood,CA,90024,10,05:44:00,6,,,False,False,False,4487,Active,FullService,,Broxton & Weyburn,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.06211,-118.44692,False,10,0,0,False,2.174.257,POINT (-118.44692 34.06211)
133,S Figueroa St & W 4th St,DTLA,CA,90071,4,05:44:00,11,,,False,False,False,4490,Active,FullService,,Figueroa & 4th,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.05355,-118.25584,False,4,0,0,False,2.174.257,POINT (-118.25584 34.05355)
134,429 S Main St,DTLA,CA,90013,3,05:44:00,10,,,False,False,False,4491,Active,FullService,,Main & Winston,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.04744,-118.24794,False,3,0,0,False,2.174.257,POINT (-118.24794 34.04744)
135,Westwood Blvd & Exposition Blvd,West Los Angeles,CA,90064,13,05:44:00,6,,,False,False,False,4492,Active,FullService,,Westwood/Rancho Park E Line Station,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.03687,-118.4255,False,12,0,1,False,2.174.257,POINT (-118.4255 34.03687)
136,Sunset Blvd & Maltman Ave,Silver Lake,CA,90026,10,05:44:00,5,,,False,False,False,4493,Active,FullService,,Sunset Triangle Plaza,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.09028,-118.27719,False,10,0,0,False,2.174.257,POINT (-118.27719 34.09028)
137,1524 Sunset Blvd,Echo Park,CA,90026,4,05:44:00,5,,,False,False,False,4494,Active,FullService,,Laveta Terrace & Sunset,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.07598,-118.25601,False,3,0,1,False,2.174.257,POINT (-118.25601 34.07598)
138,1661 Western Ave ,Hollywood,CA,90020,8,05:44:00,2,,,False,False,False,4509,Active,FullService,,Western & Hollywood,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.10164,-118.30917,False,5,0,3,False,2.174.257,POINT (-118.30917 34.10164)
139,2134 Sunset Blvd,Silver Lake,CA,90026,4,05:44:00,6,,,False,False,False,4510,Active,FullService,,Mohawk Bend,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.07735,-118.26455,False,4,0,0,False,2.174.257,POINT (-118.26455 34.07735)
140,N Vignes St,Chinatown,CA,90012,12,05:44:00,7,,,False,False,False,4511,Active,FullService,,Union Station East Portal,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.05628,-118.23177,False,11,0,1,False,2.174.257,POINT (-118.23177 34.05628)
141,1060 S Figueroa St ,DTLA,CA,90015,10,05:44:00,6,,,False,False,False,4512,Active,FullService,,Figueroa & 11th,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.04381,-118.26497,False,9,0,1,False,2.174.257,POINT (-118.26497 34.04381)
142,707 N Edgemont St,Los Feliz,CA,90029,11,05:44:00,7,,,False,False,False,4513,Active,FullService,,Edgemont & Melrose,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.08371,-118.29602,False,8,0,3,False,2.174.257,POINT (-118.29602 34.08371)
143,1600 Purdue Ave,West Los Angeles,CA,90025,10,05:44:00,8,,,False,False,False,4514,Active,FullService,,Purdue & Santa Monica,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.04655,-118.45144,False,8,0,2,False,2.174.257,POINT (-118.45144 34.04655)
144,11298 Mississippi Ave,West Los Angeles,CA,90025,7,05:44:00,1,,,False,False,False,4515,Active,FullService,,Mississippi & Sawtelle,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.03974,-118.44227,False,3,0,4,False,2.174.257,POINT (-118.44227 34.03974)
145,700 S Hill St,DTLA,CA,90014,8,05:44:00,8,,,False,False,False,4516,Active,FullService,,7th & Hill,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.04585,-118.2544,False,7,0,1,False,2.174.257,POINT (-118.2544 34.04585)
146,1721-1701 N Highland Ave,Hollywood,CA,90028,6,05:44:00,5,,,False,False,False,4517,Active,FullService,,Highland & Hollywood,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.10196,-118.33885,False,5,0,1,False,2.174.257,POINT (-118.33885 34.10196)
147,720 S Normandie Ave,Koreatown,CA,90005,4,05:44:00,1,,,False,False,False,4518,Active,FullService,,Normandie & 8th,,05:45:00,,Pacific Standard Time,6,0,Active,1,34.05797,-118.29975,False,4,0,0,False,2.174.257,POINT (-118.29975 34.05797)
148,4955 Inglewood Blvd,Del Rey,CA,90230,9,05:44:00,3,,,False,False,False,4521,Active,FullService,,Inglewood & Ballona,,05:45:00,,Pacific Standard Time,12,0,Active,1,33.99032,-118.41205,False,5,0,4,False,2.174.257,POINT (-118.41205 33.99032)
149,311 S Western Ave,Koreatown,CA,90020,7,05:44:00,8,,,False,False,False,4523,Active,FullService,,Western & 3rd,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.06875,-118.30928,False,5,0,2,False,2.174.257,POINT (-118.30928 34.06875)
150,Wilshire Normandie Plaza,Koreatown,CA,90005,5,05:44:00,9,,,False,False,False,4524,Active,FullService,,Wilshire & Normandie,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.06163,-118.30119,False,5,0,0,False,2.174.257,POINT (-118.30119 34.06163)
151,7000 Hawthorn Ave,Hollywood,CA,90028,7,05:44:00,4,,,False,False,False,4525,Active,FullService,,Hawthorn & Orange,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.10038,-118.3418,False,7,0,0,False,2.174.257,POINT (-118.3418 34.10038)
152,7333 Franklin Ave,Hollywood,CA,90046,6,05:44:00,17,,,False,False,False,4526,Active,FullService,,Franklin & Fuller,,05:45:00,,Pacific Standard Time,23,0,Active,1,34.10338,-118.34919,False,5,0,1,False,2.174.257,POINT (-118.34919 34.10338)
153,1714 N McCadden Pl,Hollywood,CA,90028,6,05:44:00,8,,,False,False,False,4527,Active,FullService,,McCadden & Hollywood,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.102,-118.33741,False,6,0,0,False,2.174.257,POINT (-118.33741 34.102)
154,1080 Glendon Ave,Westwood,CA,90024,8,05:44:00,2,,,False,False,False,4528,Active,FullService,,Glendon & Kinross,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.06097,-118.44437,False,7,0,1,False,2.174.257,POINT (-118.44437 34.06097)
155,6561 Hollywood Blvd,Hollywood,CA,90028,7,05:44:00,6,,,False,False,False,4529,Active,FullService,,Whitley & Hollywood,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.10186,-118.33329,False,7,0,0,False,2.174.257,POINT (-118.33329 34.10186)
156,6331 Hollywood Blvd,Hollywood,CA,90028,10,05:44:00,6,,,False,False,False,4534,Active,FullService,,Ivar & Hollywood,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.10186,-118.32811,False,8,0,2,False,2.174.257,POINT (-118.32811 34.10186)
157,600 Venice Boulevard,Venice,CA,90291,4,05:44:00,6,,,False,False,False,4536,Active,FullService,,Venice & Abbot Kinney,,05:45:00,,Pacific Standard Time,10,0,Active,1,33.98908,-118.46226,False,3,0,1,False,2.174.257,POINT (-118.46226 33.98908)
158,1500 N Highland Ave,Hollywood,CA,90028,8,05:44:00,15,,,False,False,False,4537,Active,FullService,,Highland & Sunset,,05:45:00,,Pacific Standard Time,23,0,Active,1,34.09823,-118.33882,False,8,0,0,False,2.174.257,POINT (-118.33882 34.09823)
159,450 S Western Ave ,Koreatown,CA,90020,6,05:44:00,2,,,False,False,False,4538,Active,FullService,,5th & Western,,05:45:00,,Pacific Standard Time,8,0,Active,1,34.06543,-118.30882,False,6,0,0,False,2.174.257,POINT (-118.30882 34.06543)
160,1717 N Cherokee Ave,Hollywood,CA,90028,6,05:44:00,8,,,False,False,False,4539,Active,FullService,,Cherokee & Hollywood,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.10176,-118.33474,False,6,0,0,False,2.174.257,POINT (-118.33474 34.10176)
161,111 S Utah St,Boyle Heights,CA,90033,11,05:44:00,7,,,False,False,False,4540,Active,FullService,,1st & Utah,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.04776,-118.22541,False,7,0,4,False,2.174.257,POINT (-118.22541 34.04776)
162,6900 Pacific Ave,Playa del Rey,CA,90293,6,05:44:00,2,,,False,False,False,4543,Active,FullService,,Toes Beach at Culver Blvd,,05:45:00,,Pacific Standard Time,8,0,Active,1,33.95718,-118.45125,False,5,0,1,False,2.174.257,POINT (-118.45125 33.95718)
163,Dockweiler Beach,Playa Del Rey,CA,90293,6,05:44:00,8,,,False,False,False,4544,Active,FullService,,Dockweiler Beach at Imperial Hwy,,05:45:00,,Pacific Standard Time,14,0,Active,1,33.92846,-118.4352,False,4,0,2,False,2.174.257,POINT (-118.4352 33.92846)
164,200 Culver Blvd,Playa Del Rey,CA,90293,4,05:44:00,4,,,False,False,False,4545,Active,FullService,,Vista Del Mar & Culver,,05:45:00,,Pacific Standard Time,8,0,Active,1,33.95879,-118.44828,False,3,0,1,False,2.174.257,POINT (-118.44828 33.95879)
165,12201 Exposition Blvd,West Los Angeles,CA,90064,10,05:44:00,9,,,False,False,False,4546,Active,FullService,,Expo/Bundy E Line Station,,05:45:00,,Pacific Standard Time,19,0,Active,1,34.0314,-118.45363,False,9,0,1,False,2.174.257,POINT (-118.45363 34.0314)
166,3205 Washington Blvd,Venice,CA,90292,7,05:44:00,3,,,False,False,False,4547,Active,FullService,,Stanford & Washington,,05:45:00,,Pacific Standard Time,10,0,Active,1,33.9897,-118.44888,False,3,0,4,False,2.174.257,POINT (-118.44888 33.9897)
167,8985 Venice Blvd,Palms,CA,90034,5,05:44:00,7,,,False,False,False,4548,Active,FullService,,Durango & Venice,,05:45:00,,Pacific Standard Time,12,0,Active,1,34.02683,-118.39352,False,3,0,2,False,2.174.257,POINT (-118.39352 34.02683)
168,3010 S Barrington Ave,Mar Vista,CA,90066,6,05:44:00,10,,,False,False,False,4549,Active,FullService,,Barrington & National,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.02245,-118.43833,False,4,0,2,False,2.174.257,POINT (-118.43833 34.02245)
169,12415 Culver Blvd,Del Rey,CA,90066,3,05:44:00,9,,,False,False,False,4552,Active,FullService,,Culver & Centinela,,05:45:00,,Pacific Standard Time,12,0,Active,1,33.99097,-118.4213,False,3,0,0,False,2.174.257,POINT (-118.4213 33.99097)
170,12904 Venice Blvd,Mar Vista,CA,90066,3,05:44:00,6,,,False,False,False,4553,Active,FullService,,Venice & Beethoven,,05:45:00,,Pacific Standard Time,9,0,Active,1,33.99958,-118.44136,False,3,0,0,False,2.174.257,POINT (-118.44136 33.99958)
171,12413 Venice,Mar Vista,CA,90066,5,05:44:00,6,,,False,False,False,4554,Active,FullService,,Venice & Colonial,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.00351,-118.43438,False,4,0,1,False,2.174.257,POINT (-118.43438 34.00351)
172,12006 Venice Blvd,Mar Vista,CA,90066,5,05:44:00,4,,,False,False,False,4555,Active,FullService,,Venice & Inglewood,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.00587,-118.42916,False,4,0,1,False,2.174.257,POINT (-118.42916 34.00587)
173,3781 McLaughlin,Mar Vista,CA,90066,6,05:44:00,7,,,False,False,False,4556,Active,FullService,,McLaughlin & Venice,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.00902,-118.42501,False,6,0,0,False,2.174.257,POINT (-118.42501 34.00902)
174,11289 Venice Blvd,Mar Vista,CA,90066,10,05:44:00,1,,,False,False,False,4557,Active,FullService,,Venice & Sawtelle,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.0118,-118.41944,False,9,0,1,False,2.174.257,POINT (-118.41944 34.0118)
175,3775 Bagley Ave,Palms,CA,90034,7,05:44:00,10,,,False,False,False,4558,Active,FullService,,Bagley & Venice,,05:45:00,,Pacific Standard Time,17,0,Active,1,34.02569,-118.3953,False,3,0,4,False,2.174.257,POINT (-118.3953 34.02569)
176,10875 Palms Blvd,Palms,CA,90034,5,05:44:00,4,,,False,False,False,4559,Active,FullService,,Palms & Kelton,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.02199,-118.4165,False,5,0,0,False,2.174.257,POINT (-118.4165 34.02199)
177,3585 S Sepulveda Blvd,Palms,CA,90034,7,05:44:00,1,,,False,False,False,4560,Active,FullService,,Sepulveda & Charnock,,05:45:00,,Pacific Standard Time,8,0,Active,1,34.01737,-118.4206,False,4,0,3,False,2.174.257,POINT (-118.4206 34.01737)
178,3466 S Sepulveda Blvd,Palms,CA,90034,5,05:44:00,4,,,False,False,False,4561,Active,FullService,,Sepulveda & Palms,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.02006,-118.42268,False,5,0,0,False,2.174.257,POINT (-118.42268 34.02006)
179,Sepulveda & National,Palms,CA,90064,5,05:44:00,11,,,False,False,False,4562,Active,FullService,,Sepulveda & National,,05:45:00,,Pacific Standard Time,16,0,Active,1,34.02697,-118.42821,False,5,0,0,False,2.174.257,POINT (-118.42821 34.02697)
180,10823 Venice Blvd,Palms,CA,90034,9,05:44:00,1,,,False,False,False,4563,Active,FullService,,Venice & Glendon,,05:45:00,,Pacific Standard Time,10,0,Active,1,34.01745,-118.40957,False,8,0,1,False,2.174.257,POINT (-118.40957 34.01745)
181,11295 Exposition Blvd,West Los Angeles,CA,90064,5,05:44:00,10,,,False,False,False,4564,Active,FullService,,Expo/Sepulveda E Line Station,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.03535,-118.43414,False,4,0,1,False,2.174.257,POINT (-118.43414 34.03535)
182,4314-4300 Alla Rd,Del Rey,CA,90066,3,05:44:00,9,,,False,False,False,4565,Active,FullService,,Alla & Maxella,,05:45:00,,Pacific Standard Time,12,0,Active,1,33.98995,-118.43467,False,3,0,0,False,2.174.257,POINT (-118.43467 33.98995)
183,9907 Venice Blvd,Palms,CA,90034,3,05:44:00,11,,,False,False,False,4566,Active,FullService,,Venice & Hughes,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.02339,-118.39922,False,3,0,0,False,2.174.257,POINT (-118.39922 34.02339)
184,10404 Venice Blvd,Palms,CA,90034,5,05:44:00,6,,,False,False,False,4567,Active,FullService,,Venice & Motor,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.02018,-118.40403,False,5,0,0,False,2.174.257,POINT (-118.40403 34.02018)
185,10001 Exposition Blvd,Palms,CA,90034,12,05:44:00,2,,,False,False,False,4568,Active,FullService,,Palms E Line Station,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.02912,-118.40317,False,7,0,5,False,2.174.257,POINT (-118.40317 34.02912)
186,10323 Palms Blvd,Palms,CA,90034,7,05:44:00,2,,,False,False,False,4569,Active,FullService,,Palms & Motor,,05:45:00,,Pacific Standard Time,9,0,Active,1,34.02655,-118.40846,False,5,0,2,False,2.174.257,POINT (-118.40846 34.02655)
187,3732 S Sepulveda Blvd,Palms,CA,90034,6,05:44:00,11,,,False,False,False,4570,Active,FullService,,Sepulveda & Venice,,05:45:00,,Pacific Standard Time,17,0,Active,1,34.01376,-118.4178,False,6,0,0,False,2.174.257,POINT (-118.4178 34.01376)
188,10618 Rose Ave,Palms,CA,90034,3,05:44:00,4,,,False,False,False,4571,Active,FullService,,Rose & Overland,,05:45:00,,Pacific Standard Time,7,0,Active,1,34.02765,-118.41356,False,2,0,1,False,2.174.257,POINT (-118.41356 34.02765)
189,10377 National Blvd,Palms,CA,90034,4,05:44:00,11,,,False,False,False,4572,Active,FullService,,National & Motor,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.02948,-118.41047,False,3,0,1,False,2.174.257,POINT (-118.41047 34.02948)
190,3301 Westwood Blvd,Palms,CA,90064,6,05:44:00,5,,,False,False,False,4573,Active,FullService,,Westwood & National,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.03047,-118.42098,False,3,0,3,False,2.174.257,POINT (-118.42098 34.03047)
191,11220-11200 Lucerne Ave,Del Rey,CA,90230,3,05:44:00,8,,,False,False,False,4575,Active,FullService,,Lucerne & Sepulveda,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.00031,-118.40253,False,2,0,1,False,2.174.257,POINT (-118.40253 34.00031)
192,3704-3700 Motor Ave,Palms,CA,90034,5,05:44:00,6,,,False,False,False,4576,Active,FullService,,Motor & Regent,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.02258,-118.40551,False,3,0,2,False,2.174.257,POINT (-118.40551 34.02258)
193,4743 Inglewood Blvd,Del Rey,CA,90230,3,05:44:00,8,,,False,False,False,4577,Active,FullService,,Inglewood & Braddock,,05:45:00,,Pacific Standard Time,11,0,Active,1,33.99302,-118.41491,False,3,0,0,False,2.174.257,POINT (-118.41491 33.99302)
194,755 S Main,DTLA,CA,90014,2,05:44:00,6,,,False,False,False,4578,Active,FullService,,Main & 8th,,05:45:00,,Pacific Standard Time,8,0,Active,1,34.04298,-118.25295,False,2,0,0,False,2.174.257,POINT (-118.25295 34.04298)
195,4666-4650 Alla Rd,Del Rey,CA,90066,5,05:44:00,7,,,False,False,False,4579,Active,FullService,,Alla & Glencoe,,05:45:00,,Pacific Standard Time,12,0,Active,1,33.98486,-118.43113,False,4,0,1,False,2.174.257,POINT (-118.43113 33.98486)
196,Centinela & Lucile,Playa Vista,CA,90230,4,05:44:00,4,,,False,False,False,4580,Active,FullService,,Centinela & Lucile,,05:45:00,,Pacific Standard Time,8,0,Active,1,33.98292,-118.41093,False,2,0,2,False,2.174.257,POINT (-118.41093 33.98292)
197,Playa Vista Drive,Playa Vista,CA,90094,11,05:44:00,6,,,False,False,False,4581,Active,FullService,,Playa Vista Library,,05:45:00,,Pacific Standard Time,17,0,Active,1,33.97024,-118.42607,False,9,0,2,False,2.174.257,POINT (-118.42607 33.97024)
198,5504 Westlawn Ave,Playa Vista,CA,90066,6,05:44:00,8,,,False,False,False,4582,Active,FullService,,Westlawn & Beatrice,,05:45:00,,Pacific Standard Time,14,0,Active,1,33.98099,-118.41488,False,4,0,2,False,2.174.257,POINT (-118.41488 33.98099)
199,12855 Runway,Playa Vista,CA,90094,11,05:44:00,11,,,False,False,False,4583,Active,FullService,,McConnell & Runway,,05:45:00,,Pacific Standard Time,22,0,Active,1,33.97619,-118.41842,False,10,0,1,False,2.174.257,POINT (-118.41842 33.97619)
200,6265 Fountain Ave,Hollywood,CA,90028,5,05:44:00,9,,,False,False,False,4584,Active,FullService,,Fountain & Vine,,05:45:00,,Pacific Standard Time,14,0,Active,1,34.09435,-118.32636,False,3,0,2,False,2.174.257,POINT (-118.32636 34.09435)
201,650 S Western Ave,Koreatown,CA,90005,8,05:44:00,5,,,False,False,False,4587,Active,FullService,,Wiltern,,05:45:00,,Pacific Standard Time,13,0,Active,1,34.06079,-118.30907,False,5,0,3,False,2.174.257,POINT (-118.30907 34.06079)
202,11688 Chandler Blvd,North Hollywood,CA,96106,1,05:44:00,17,,,False,False,False,4595,Active,FullService,,Chandler & Colfax,,05:45:00,,Pacific Standard Time,18,0,Active,1,34.16835,-118.3875,False,1,0,0,False,2.174.257,POINT (-118.3875 34.16835)
203,5352 Laurel Canyon Blvd,North Hollywood,CA,96106,6,05:44:00,8,,,False,False,False,4596,Active,FullService,,Chandler & Laurel Canyon,,05:45:00,,Pacific Standard Time,15,0,Active,1,34.16833,-118.39616,False,5,0,1,False,2.174.257,POINT (-118.39616 34.16833)
204,10301 W Magnolia Blvd,North Hollywood,CA,96106,7,05:44:00,3,,,False,False,False,4597,Active,FullService,,Magnolia & Clybourn,,05:45:00,,Pacific Standard Time,11,0,Active,1,34.16522,-118.35515,False,7,0,0,False,2.174.257,POINT (-118.35515 34.16522)
